time_index,trained_segment_id,eval_segment_id,eval_segment_name,accuracy,task_aware_accuracy,forgetting,task_aware_forgetting
0,0,0,task848_pubmedqa_classification,0.0,0.0,0.0,0.0
0,0,1,task611_mutual_multi_turn_dialogue,,,,
0,0,2,task565_circa_answer_generation,,,,
0,0,3,task1714_convai3_sentence_generation,,,,
0,0,4,task574_air_dialogue_sentence_generation,,,,
0,0,5,task1590_diplomacy_text_generation,,,,
0,0,6,task1730_personachat_choose_next,,,,
0,0,7,task294_storycommonsense_motiv_text_generation,,,,
0,0,8,task576_curiosity_dialogs_answer_generation,,,,
0,0,9,task1600_smcalflow_sentence_generation,,,,
0,0,10,task1500_dstc3_classification,,,,
0,0,11,task639_multi_woz_user_utterance_generation,,,,
0,0,12,task1729_personachat_generate_next,,,,
0,0,13,task1501_dstc3_answer_generation,,,,
0,0,14,task1713_convai3_sentence_generation,,,,
0,0,15,task766_craigslist_bargains_classification,,,,
0,0,16,task1603_smcalflow_sentence_generation,,,,
0,0,17,task1384_deal_or_no_dialog_classification,,,,
0,0,18,task573_air_dialogue_classification,,,,
1,1,0,task848_pubmedqa_classification,0.0,0.0,0.0,0.0
1,1,1,task611_mutual_multi_turn_dialogue,0.31,0.31,0.0,0.0
1,1,2,task565_circa_answer_generation,,,,
1,1,3,task1714_convai3_sentence_generation,,,,
1,1,4,task574_air_dialogue_sentence_generation,,,,
1,1,5,task1590_diplomacy_text_generation,,,,
1,1,6,task1730_personachat_choose_next,,,,
1,1,7,task294_storycommonsense_motiv_text_generation,,,,
1,1,8,task576_curiosity_dialogs_answer_generation,,,,
1,1,9,task1600_smcalflow_sentence_generation,,,,
1,1,10,task1500_dstc3_classification,,,,
1,1,11,task639_multi_woz_user_utterance_generation,,,,
1,1,12,task1729_personachat_generate_next,,,,
1,1,13,task1501_dstc3_answer_generation,,,,
1,1,14,task1713_convai3_sentence_generation,,,,
1,1,15,task766_craigslist_bargains_classification,,,,
1,1,16,task1603_smcalflow_sentence_generation,,,,
1,1,17,task1384_deal_or_no_dialog_classification,,,,
1,1,18,task573_air_dialogue_classification,,,,
2,2,0,task848_pubmedqa_classification,0.0,0.0,0.0,0.0
2,2,1,task611_mutual_multi_turn_dialogue,0.23,0.23,0.07999999999999999,0.07999999999999999
2,2,2,task565_circa_answer_generation,0.0,0.0,0.0,0.0
2,2,3,task1714_convai3_sentence_generation,,,,
2,2,4,task574_air_dialogue_sentence_generation,,,,
2,2,5,task1590_diplomacy_text_generation,,,,
2,2,6,task1730_personachat_choose_next,,,,
2,2,7,task294_storycommonsense_motiv_text_generation,,,,
2,2,8,task576_curiosity_dialogs_answer_generation,,,,
2,2,9,task1600_smcalflow_sentence_generation,,,,
2,2,10,task1500_dstc3_classification,,,,
2,2,11,task639_multi_woz_user_utterance_generation,,,,
2,2,12,task1729_personachat_generate_next,,,,
2,2,13,task1501_dstc3_answer_generation,,,,
2,2,14,task1713_convai3_sentence_generation,,,,
2,2,15,task766_craigslist_bargains_classification,,,,
2,2,16,task1603_smcalflow_sentence_generation,,,,
2,2,17,task1384_deal_or_no_dialog_classification,,,,
2,2,18,task573_air_dialogue_classification,,,,
3,3,0,task848_pubmedqa_classification,0.0,0.0,0.0,0.0
3,3,1,task611_mutual_multi_turn_dialogue,0.19,0.19,0.12,0.12
3,3,2,task565_circa_answer_generation,0.0,0.0,0.0,0.0
3,3,3,task1714_convai3_sentence_generation,0.0,0.0,0.0,0.0
3,3,4,task574_air_dialogue_sentence_generation,,,,
3,3,5,task1590_diplomacy_text_generation,,,,
3,3,6,task1730_personachat_choose_next,,,,
